iter	MultiClass	Accuracy
0	0.7590017469	0.8411764706
1	0.5740175498	0.8789915966
2	0.5171714568	0.8798319328
3	0.4687603882	0.887394958
4	0.4410845676	0.8890756303
5	0.424615095	0.8915966387
6	0.4050307056	0.8932773109
7	0.3830170343	0.8966386555
8	0.3615597027	0.8991596639
9	0.3482536674	0.9016806723
10	0.3313762862	0.9050420168
11	0.3207961892	0.9058823529
12	0.3114373591	0.9092436975
13	0.2980695403	0.9109243697
14	0.2863651214	0.912605042
15	0.2808138174	0.9142857143
16	0.2727903267	0.9176470588
17	0.2579683671	0.9210084034
18	0.2533527509	0.9235294118
19	0.246125875	0.9226890756
20	0.2360704853	0.9260504202
21	0.2296449508	0.9277310924
22	0.2205400589	0.9327731092
23	0.2150460164	0.9327731092
24	0.2065066716	0.9352941176
25	0.1990768953	0.9361344538
26	0.1929791024	0.9386554622
27	0.1880326087	0.9378151261
28	0.1812526558	0.9394957983
29	0.1767419058	0.9420168067
30	0.1715813238	0.9428571429
31	0.1675347573	0.9445378151
32	0.1637195195	0.9462184874
33	0.1592635436	0.9487394958
34	0.1570150925	0.9495798319
35	0.1525130637	0.9504201681
36	0.1503197123	0.9504201681
37	0.1468901396	0.9529411765
38	0.1453769217	0.9537815126
39	0.1425886775	0.9537815126
40	0.1407732737	0.9529411765
41	0.1355432981	0.9554621849
42	0.1330982523	0.9579831933
43	0.1298168321	0.9596638655
44	0.1247531201	0.9663865546
45	0.1223859589	0.9680672269
46	0.1215004	0.9680672269
47	0.1188852088	0.9680672269
48	0.115695534	0.9697478992
49	0.1117805329	0.9697478992
