iter	Passed	Remaining
0	5	276
1	14	348
2	23	373
3	32	376
4	42	385
5	53	391
6	63	387
7	72	380
8	81	370
9	90	362
10	99	354
11	109	346
12	118	338
13	127	328
14	136	318
15	145	309
16	154	300
17	163	291
18	174	284
19	183	275
20	193	266
21	201	256
22	211	247
23	220	238
24	228	228
25	238	219
26	247	211
27	256	201
28	265	192
29	274	182
30	311	190
31	320	180
32	329	169
33	339	159
34	347	149
35	356	138
36	374	131
37	383	121
38	406	114
39	415	103
40	424	93
41	434	82
42	442	72
43	453	61
44	467	51
45	477	41
46	487	31
47	496	20
48	505	10
49	515	0
